ASVs	bremen	brake	bremerhaven	helgolandT	helgolandS
ASV_2549	0.00	0.00	0.33	0.00	0.00
ASV_2551	0.67	0.00	2.00	0.00	0.00
ASV_2558	9.83	0.00	16.50	3.17	0.00
ASV_2588	15.33	8.17	0.00	0.00	0.00
ASV_2614	0.00	0.00	0.17	5.50	0.00
ASV_2616	17.33	7.50	61.33	0.00	0.00
ASV_2619	0.17	0.17	0.00	0.00	0.00
ASV_2638	0.00	0.67	0.00	0.00	0.00
ASV_2639	0.00	0.00	0.50	0.00	0.00
ASV_2642	2.33	4.17	2.00	0.00	0.00
ASV_2658	5.83	13.00	0.67	0.00	0.00
ASV_2661	0.00	0.00	0.00	0.00	3.00
ASV_2674	0.00	0.00	0.33	0.00	0.00
ASV_2684	0.00	0.00	0.00	0.50	2.00
ASV_2686	2.17	3.00	0.00	0.00	0.00
ASV_2694	0.17	0.17	1.83	0.00	0.00
ASV_2715	0.00	0.17	0.00	0.00	0.00
ASV_2716	0.00	0.00	0.33	0.00	0.00
ASV_2717	0.00	2.83	0.00	0.00	0.00
ASV_2722	0.00	0.00	0.00	7.00	0.00
ASV_2732	0.00	0.00	0.00	1.17	0.00
ASV_2744	0.17	0.17	0.00	0.00	0.00
ASV_2754	3.67	6.33	0.00	0.00	0.00
ASV_2776	2.50	0.00	5.83	0.00	0.00
ASV_2785	0.00	0.00	0.67	0.00	0.00
ASV_2788	0.00	0.00	0.17	3.00	2.00
ASV_2796	0.00	0.00	0.00	0.00	2.00
ASV_2801	0.33	0.83	0.00	0.00	0.00
ASV_2804	0.00	0.00	0.00	0.17	0.00
ASV_2806	0.00	0.00	0.00	0.00	0.00
ASV_2821	1.33	3.67	0.00	0.00	0.00
ASV_2828	0.00	0.00	0.00	0.17	0.00
ASV_2839	0.00	0.00	0.33	7.50	0.00
ASV_2846	0.00	0.00	0.00	0.00	0.00
ASV_2848	0.00	0.00	0.00	1.83	3.00
ASV_2851	0.17	0.00	0.00	0.00	0.00
ASV_2860	0.00	0.17	0.00	0.00	0.00
ASV_2863	0.17	0.00	0.00	0.00	0.00
ASV_2864	0.00	0.00	0.33	0.00	0.00
ASV_2866	2.00	1.33	9.50	0.00	0.00
